1,Rasla Foucard,Porsgrunn,10000
2,Joletta Lemerle,Yaroslavl,10500
3,Iolanthe Prestney,Oslo,11000
4,Ethelbert Dorking,Gantang,11500
5,Gavrielle Illidge,Sebasang,12000
6,Elaina Oakden,Siemiatycze,12500
7,Lek Sandcraft,General Enrique Mosconi,13000
8,Jeannine Radford,Sarandë,13500
9,Paige Landreth,Kushima,14000
10,Corene Rhodus,Velykyy Burluk,14500
11,Kiah Suttell,Ceará Mirim,15000
12,Ailsun Neeves,Pasirbatang,15500
13,Vivien Conwell,Gugark’,16000
14,Cally Childers,Jiazhuyuan,16500
15,Abbe Paik,El Corozo,17000
16,Rosaleen Caselick,Calceta,17500
17,Ambrosi MacClinton,Changyuan,18000
18,Zeke Culbard,Rizal,18500
19,Milena Eadmeades,Santa María de Jesús,19000
20,Miran Crilley,Helin,19500
21,Alexis Gallihawk,Hepu,20000
22,Basia Beadnell,Alajuela,20500
23,Claudio Beveridge,Santiago,21000
24,Lyda Davidoff,Dolores,21500
25,Maure Domsalla,Socorro,22000
26,Niven Gadsdon,Concordia,22500
27,Lorinda Kesten,Biryukove,23000
28,Leo Scutter,Wleń,23500
29,Pearce MacRonald,Kumo,24000
30,Brooks McKeurton,Ungus-Ungus,24500
31,Fayette Camplen,General Luna,25000
32,Zarah Sammes,Pedro Miguel,25500
33,Cordey Pietersma,Taibao,26000
34,Richard Cameli,Mundão,26500
35,Amory Fiveash,Alcala,27000
36,Reggi Brugsma,Maïné Soroa,27500
37,Daphne Island,Baishui,28000
38,Janaye MacAleese,Liangshuijing,28500
39,Godiva Proger,Mafa,29000
40,Ninette Scudder,Nioki,29500
41,Loutitia Vaneev,Málaga,30000
42,Barthel Andryushchenko,Morrison,30500
43,Jobina Whitmore,Bom Jesus da Lapa,31000
44,Fonzie Merritt,Wenfu,31500
45,Jaime Placstone,Mysove,32000
46,Diena Dallander,Kao Liao,32500
47,Ciro Windham,Kristianstad,33000
48,Wolf Pougher,Mrgavan,33500
49,Marrissa Rodman,Punsu,34000
50,Had Dobell,Mâcon,34500
51,Codee Gynni,Buy,35000
52,Laney Havercroft,Kanganpur,35500
53,Maryanna McKeaveney,Linköping,36000
54,Perceval Prinn,Chouto,36500
55,Carree McAusland,Watergrasshill,37000
56,Merci Izard,Polyarnyy,37500
57,Antony Kinver,Real,38000
58,Bonnie Lundbeck,Odintsovo,38500
59,Susi Spensly,Nan’an,39000
60,Dwain Gouldstone,Langtang,39500
61,Abbey Winwood,Hamm,40000
62,Bernardina Vasilchikov,Daxin,40500
63,Corbin Bottoms,Zürich,41000
64,Brandice Steere,Tanjungbalai,41500
65,Frank Shute,Amboasary,42000
66,Mariam Durram,Illushi,42500
67,Earl Hutsby,Qiligang,43000
68,Madelina Sextone,Foxrock,43500
69,Lanae Elvish,Babantar,44000
70,Wolfie Lewisham,Subottsi,44500
71,Roi Jerrard,Mochumí,45000
72,Jennine Dolle,Dongchengyuan,45500
73,Abby Cortes,Itabirito,46000
74,Ibby Ciccotti,Farsta,46500
75,Devon Leemans,Novais,47000
76,Lawrence Huggins,George Hill,47500
77,Illa Spurret,Karlskoga,48000
78,Mirna Abriani,Qiankou,48500
79,Andreana Comerford,El Bálsamo,49000
80,Barbey Bridgewood,Filipowice,49500
81,Morgun Dulson,Vinica,50000
82,Lark Treversh,Ribeirão das Neves,50500
83,Libbi Pillans,Vodnyy,51000
84,Rickie Ginner,Honglu,51500
85,Berkie Lycett,Zuogaiduoma,52000
86,Cara Leneham,Kristinehamn,52500
87,Shaylynn Norton,San Pablo,53000
